Bubble Sort,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Counting Sort,5.86E-05,0.0001449,0.0002967,0.0004626,0.0006252,0.0008978,0.0009849,0.001281,0.001476,0.001598,0.001795,0.001963,0.002169,0.002368,0.003554
Heap Sort,0.0004395,0.001329,0.003032,0.004731,0.006546,0.008655,0.01109,0.01318,0.01568,0.01806,0.02073,0.0233,0.02623,0.02838,0.03152
Insertion Sort,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Merge Sort,0.0007667,0.002042,0.004381,0.006736,0.009051,0.01157,0.01407,0.0165,0.0188,0.02159,0.02387,0.026,0.02928,0.03118,0.03412
Quick Sort,0.0004229,0.00116,0.002454,0.003804,0.005238,0.006782,0.008107,0.009584,0.01098,0.01247,0.01395,0.01551,0.01692,0.01839,0.01981
Selection Sort,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
