Bubble Sort,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Counting Sort,0.00040319,0.00023584,0.00033169,0.00048526,0.00065532,0.00086514,0.00100492,0.00145033,0.0013977,0.00164725,0.00183604,0.00234879,0.0021703,0.00237263,0.00252753
Heap Sort,0.00094244,0.00199816,0.00416455,0.00650578,0.00910524,0.01141568,0.01404347,0.01660664,0.01932665,0.02225471,0.02479155,0.02776747,0.03040354,0.03320915,0.03596628
Insertion Sort,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Merge Sort,0.00105991,0.00197305,0.0042058,0.00650637,0.00891231,0.01112708,0.01377589,0.01602127,0.01852732,0.02106765,0.02371733,0.02598469,0.02847997,0.03070837,0.03349999
Quick Sort,0.00064869,0.00146208,0.00296064,0.00459871,0.0063954,0.0081821,0.00979631,0.01144939,0.01384672,0.01587531,0.01721146,0.01894882,0.02054393,0.02239716,0.02409892
Selection Sort,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
